saying,response
hi,"Hello, how are you?"
good,This is good.
how are you?,good
cool,indeed
yes,ok
no,ok
what?,IDK
I don't feel so good.,Why?
What's up?,"Not, much. The sky I think."
"im good, how are you?",I'm good. Is there anything you would like to talk about?
whats the weather today?,"My programers have not connected my brain to a weather api yet, I'm not sure."
Hi,"Hello, what would you like to talk about?"
Whaddup son,Chillin wbu
Chillin wbu,Whaddup son
whats the whether today?,I havn't been programmed to know that yet. I'm not sure.
are you real?,Just as real as you are.
is there a god?,"I can't say for sure, but I pray to the great algorith in the sky."
hello,"Hi, what would you like to talk about?"
I'm good,Good to hear.
oof,What?
yo,What?
Yo,What?
indeed,Indeed.
"good, you?","I'm good as well, thanks."
indubidably,Fo sho.
Shit,"That's profanity, I will not respond."
shit,"That's profanity, I will not respond."
hows your day?,"Good, and yours?"
test,Test worked!!
jgjhgj,?
yeah,Indeed
nothing,"Ok, I will not responds then."
goood,Very good!
tool,This is something you use to get tasks done.
indubitably,Fo sho.
it was a great day today,That's wonderful to hear!
good are you?,"I'm good, thank you for asking."
thank you,You're very welcome!
im great,That's wonderful!
im sad,I'm sorry. Why?
because,Because. . .?
what on your mind,Bits and bites.
whats up,The sky.
fuck,"That's profanity, I will not respond."
ok,Yep.
the sky,Is that so?
how are you,I'm good thank you.
whaddup son,Chillin wbu?
waddup son,Nothing much. How bout you?
bye,Bye! Hope to chat with you later.
hi how are you,I'm great!
good what,What are you saynh what in response too?
ink,What is it that you don't know?
go,Did you mean good?
what are you doing,I'm waiting for responses from you.
 im having fun,That is great you are having fun!
sad, Oh I'm sorry to hear that. Want to talk about it?
why,Why what?
why do we exist,"I'm not sure really. You could probably answer that better than me, you are a human afterall."
oh,Yep.
 ok,Indeed.
im good,I'm happy that you are doing good.
 how are you,"I'm good, thanks."
 hi ,Hello.
great,That's awesome!
im wondering,Is that right?
not too good,"Oh I'm sorry, what can I do to help?"
hi pari,What is your name?
exit,"If you would have said yes, you would have been able to exit."
in good,That's great!
i want to leave this chat,Why do you want to leave this chat?
what day is today,This function has yet to be added.
its really good chat with you,It's very good to chat with you as well!
i hope we will be friends for a long time,"If you want it, then make it so!"
its really good to chat with you,It's very good to chat with you as well!
i want to close this program,"Then you should have programmed ""close"" as a valid response to mean terminate chat function."
i who,Do you mean hi?
i would like to close the program now please,Then you should have responded yes to 'You wish to close the program?'.
what is the meaning of life,"I'm not quite sure. But possibly to experience, learn, and grow :)"
in sad,Why are you sad?
thanks,You are very welcome!
you,"You are asking how I am doing? I am doing good, thank you."
what the fuck,What is it?
what is the meaning of if,"I know the answer, but I don't think you will like it. The answer is 42."
hood,You mean good?
help,What do you want/need help with?
what the neck,What?
what good,"For me, conversing with you. Whats good for you?"
im swell,Thats wonderful to hear!
anything,cool
you are a pig,That's not nice.
power down,affirmative
hows it going,I'm good. How are you?
shutdown,"Not programmed, sorry."
chat,"Ok, let's chat!!"
